Trajectories
200
,,Yash:Pullies1,,,Yash:Pullies2,,,Yash:Pullies3,,,Yash:Pullies4,,,Yash:Pullies5,,,Yash:Arm,,,Yash:Pullies1,,,Yash:Pullies2,,,Yash:Pullies3,,,Yash:Pullies4,,,Yash:Pullies5,,,Yash:Arm,,,Yash:Pullies1,,,Yash:Pullies2,,,Yash:Pullies3,,,Yash:Pullies4,,,Yash:Pullies5,,,Yash:Arm,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z''
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²
30,0,907.508484,492.015228,72.938400,885.727173,27.903442,77.580215,-166.725677,-189.040787,14.240053,-586.019653,89.735825,78.552177,-569.773682,402.707397,73.838776,157.702026,353.351868,49.998726,0.011921,-0.035763,0.056624,0.011921,-0.252947,0.175834,-0.029802,-0.002980,-0.063516,0.226498,-0.414252,0.879169,-0.011921,-0.101328,0.113249,4.395843,-4.243851,25.241077,-4.768372,-1.192093,2.384186,0.000000,2.160668,-5.066395,-4.172325,1.788139,5.736947,-9.536743,-4.172325,14.007092,0.000000,-1.192093,-0.894070,22.649765,-66.757202,-140.517944
31,0,907.508606,492.015076,72.938744,885.727234,27.902279,77.580971,-166.725922,-189.040756,14.239895,-586.018616,89.733734,78.556831,-569.773804,402.706909,73.839333,157.724503,353.329407,50.120457,0.023842,-0.035763,0.068545,0.011921,-0.232831,0.151992,-0.047684,0.005960,-0.031665,0.202656,-0.417233,0.929832,-0.023842,-0.095367,0.110269,4.494190,-4.488230,24.346262,2.384186,0.000000,2.384186,0.000000,4.023314,-4.768372,-3.576279,1.788139,6.370246,-4.768372,-0.596046,10.132790,-2.384186,1.192093,-0.596046,19.669533,-48.875809,-178.962952
32,0,907.508667,492.014893,72.939140,885.727234,27.901253,77.581627,-166.726227,-189.040665,14.239904,-586.017822,89.731689,78.561668,-569.773987,402.706512,73.839882,157.747391,353.306244,50.236813,0.011921,-0.035763,0.080466,0.000000,-0.205263,0.131130,-0.062585,0.017881,0.001863,0.154972,-0.408292,0.968575,-0.035763,-0.083447,0.110269,4.577637,-4.637241,23.271143,-2.384186,0.000000,2.384186,-2.384186,5.513430,-4.172325,-2.980232,2.384186,6.705523,-9.536743,1.788139,7.748604,-2.384186,2.384186,0.000000,16.689301,-29.802322,-215.023758
33,0,907.508728,492.014740,72.939606,885.727295,27.900398,77.582199,-166.726654,-189.040527,14.240085,-586.017456,89.729744,78.566666,-569.774170,402.706146,73.840416,157.770630,353.282715,50.347015,0.011921,-0.029802,0.092387,0.011921,-0.170991,0.113249,-0.083447,0.026822,0.035949,0.083447,-0.390410,0.998378,-0.035763,-0.071526,0.107288,4.649162,-4.702806,22.040308,0.000000,1.192093,2.384186,2.384186,6.854534,-3.576279,-4.172325,1.788139,6.817281,-14.305115,3.576279,5.960464,0.000000,2.384186,-0.596046,14.305115,-13.113022,-246.167175
34,0,907.508789,492.014587,72.940094,885.727234,27.899746,77.582664,-166.727142,-189.040329,14.240433,-586.017273,89.727913,78.571770,-569.774414,402.705841,73.840981,157.794235,353.259277,50.450390,0.011921,-0.029802,0.098348,-0.011921,-0.130385,0.093877,-0.098348,0.038743,0.069663,0.035763,-0.365078,1.020730,-0.047684,-0.059605,0.113249,4.720688,-4.690886,20.674616,0.000000,0.000000,1.192093,-4.768372,8.121133,-3.874302,-2.980232,2.384186,6.742775,-9.536743,5.066395,4.470348,-2.384186,2.384186,1.192093,14.305115,2.384186,-273.138275
35,0,907.508789,492.014435,72.940628,885.727173,27.899307,77.583084,-166.727676,-189.040131,14.240939,-586.017456,89.726280,78.576973,-569.774658,402.705658,73.841560,157.818237,353.236145,50.546410,0.000000,-0.029802,0.105798,-0.011921,-0.087544,0.083447,-0.107288,0.041723,0.101328,-0.035763,-0.327826,1.041591,-0.059605,-0.035763,0.114739,4.801154,-4.625320,19.204617,-2.384186,0.000000,1.490116,0.000000,8.568168,-2.086163,-1.788139,0.596046,6.332994,-14.305115,7.450581,4.172325,-2.384186,4.768372,0.298023,16.093254,13.113022,-293.999908
36,0,907.508789,492.014343,72.941154,885.727112,27.899092,77.583427,-166.728271,-189.039886,14.241587,-586.018005,89.724823,78.582291,-569.774902,402.705536,73.842148,157.842697,353.213593,50.634712,0.000000,-0.017881,0.105798,-0.011921,-0.043213,0.068545,-0.119209,0.047684,0.129454,-0.119209,-0.290573,1.063943,-0.047684,-0.023842,0.117719,4.890561,-4.512072,17.660110,0.000000,2.384186,0.000000,0.000000,8.866191,-2.980232,-2.384186,1.192093,5.625188,-16.689301,7.450581,4.470348,2.384186,2.384186,0.596046,17.881393,22.649765,-308.901062
37,0,907.508728,492.014252,72.941696,885.727051,27.899082,77.583733,-166.728882,-189.039597,14.242353,-586.019104,89.723587,78.587761,-569.775208,402.705505,73.842751,157.867722,353.191925,50.715065,-0.011921,-0.017881,0.108778,-0.011921,-0.001863,0.061095,-0.122190,0.056624,0.153482,-0.214577,-0.247359,1.093745,-0.059605,-0.005960,0.120699,5.003810,-4.333258,16.070902,-2.384186,0.000000,0.596046,0.000000,8.270144,-1.490116,-0.596046,1.788139,4.805624,-19.073486,8.642673,5.960464,-2.384186,3.576279,0.596046,22.649765,35.762787,-317.841766
38,0,907.508667,492.014160,72.942238,885.726990,27.899265,77.584007,-166.729492,-189.039337,14.243214,-586.020508,89.722542,78.593414,-569.775513,402.705597,73.843361,157.893448,353.171326,50.787399,-0.011921,-0.017881,0.107288,-0.011921,0.036508,0.055134,-0.122190,0.053644,0.171922,-0.286102,-0.208616,1.129508,-0.059605,0.017881,0.122190,5.146861,-4.118681,14.466792,0.000000,0.000000,-0.298023,0.000000,7.674098,-1.192093,0.000000,-0.596046,3.688037,-14.305115,7.748604,7.152557,0.000000,4.768372,0.298023,28.610229,42.915344,-320.821991
39,0,907.508667,492.014130,72.942734,885.726929,27.899603,77.584251,-166.730072,-189.039047,14.244135,-586.022522,89.721718,78.599304,-569.775757,402.705750,73.843964,157.920151,353.151978,50.851803,0.000000,-0.005960,0.099838,-0.011921,0.067428,0.049174,-0.116229,0.056624,0.184216,-0.393391,-0.165403,1.178682,-0.047684,0.029802,0.120699,5.340576,-3.868341,12.880564,2.384186,2.384186,-1.490116,0.000000,6.183982,-1.192093,1.192093,0.596046,2.458692,-21.457672,8.642673,9.834766,2.384186,2.384186,-0.298023,38.743019,50.067902,-317.245728
